raw_comp_writers_text,CLEAN_TEXT
Jordan Riley/Adam Argyle/Martin Brammer,Jordan Riley/Adam Argyle/Martin Brammer
Martin Hygård,Martin Hygård
Jesse Robinson/Greg Phillips/Kishaun Bailey/Kai Asa Savon Wright,Jesse Robinson/Greg Phillips/Kishaun Bailey/Kai Asa Savon Wright
Mendel Brikman,
Alvin Lee,Alvin Lee
Haddag Samir/MusicAlligator,Haddag Samir
Mefi Morales,Mefi Morales
Christopher Franke,Christopher Franke
UNKNOWN WRITER (999990),
Shashank Katkar,Shashank Katkar
L. Chandler/John Hammond,L. Chandler/John Hammond
Itsjaygocrazy/Jordan Ancrum,Itsjaygocrazy/Jordan Ancrum
Ferhan C/Aaron Tyler/Blue Stamp Music,Ferhan C/Aaron Tyler
Mike Kalambay,Mike Kalambay
Rikard Sjöblom,Rikard Sjöblom
Junior Francisco,Junior Francisco
PHUC TRUONG,PHUC TRUONG
Slatt Zy,Slatt Zy
Bằng Giang/Tú Nhi,Bằng Giang/Tú Nhi
Paul Hardcastle/Kim Fuller,Paul Hardcastle/Kim Fuller
Ivan Torrent,Ivan Torrent
An Stepper,An Stepper
NS (PERF BY KALI),NS (PERF BY KALI)
José Afonso/Luís de Andrade,José Afonso/Luís de Andrade
Lavel Jackson & Demarcus Ford,Lavel Jackson/Demarcus Ford
fo man,
Wilhelm Hellweg/Ludwig van Beethoven,Wilhelm Hellweg/Ludwig van Beethoven
Traditional,
#unknown#,
Christian Michelle Felix Felix,Christian Michelle Felix Felix
Eric Andersen,Eric Andersen
Efrem Jamaar Blackwell,Efrem Jamaar Blackwell
ZAIKS/Mariusz Duda/District 6 Music Publishing Ltd,Mariusz Duda
Ludwig van Beethoven,Ludwig van Beethoven
Nguyễn Nhất Huy,Nguyễn Nhất Huy
Hayden Buck Jones,Hayden Buck Jones
Alexey Abrosimov,Alexey Abrosimov
Bhai Gurbachan Singh Ji Sri Ganganagar Wale,Bhai Gurbachan Singh Ji Sri Ganganagar Wale
"Rundown Spaz,Rundown Choppaboy",Rundown Spaz/Rundown Choppaboy
Michael Hansen/James Lewis/Felix Rutherford/Robbie Jay,Michael Hansen/James Lewis/Felix Rutherford/Robbie Jay
Antonio Short & Alexander Thai,Antonio Short/Alexander Thai
Patra Nicolas/Colombier Emmanuel/Bausson Matthieu/LeFloch Fabien,Patra Nicolas/Colombier Emmanuel/Bausson Matthieu/LeFloch Fabien
O.Nesterov,O.Nesterov
Mozzy,Mozzy
DJ PALEMBANG/Copyright Control,DJ PALEMBANG
Angel Graciano,Angel Graciano
AARON D SPRINKLE,
Danny Kortchmar,Danny Kortchmar
Johann Sebastian Bach,Johann Sebastian Bach
Dev Kohli/Anu Malik,Dev Kohli/Anu Malik
Donovan Edjuan Jarrett,Donovan Edjuan Jarrett
Copyright Control/Paulo Jorge Moreno,Paulo Jorge Moreno
"Day & Murray (Bowles, Gaudet, Middleton & Shanahan)",Day/Murray/Bowles/Gaudet/Middleton/Shanahan
Horace Watt,Horace Watt
Ivan Konstantinovich Shabashov/Dmitry Aleksandrovich Lystsov,Ivan Konstantinovich Shabashov/Dmitry Aleksandrovich Lystsov
Joseph Haydn,Joseph Haydn
BOOSEY & HAWKES,BOOSEY/HAWKES
Willie Taylor,Willie Taylor
Khúc Lan,Khúc Lan
Dhibu Ninan Thomas,Dhibu Ninan Thomas
Lil Durk,Lil Durk
"Debbie Moore,Bill Anderson,Skip Ewing",Debbie Moore/Bill Anderson/Skip Ewing
Tomaso Albinoni,Tomaso Albinoni
Adam Pék/Cory James/Various Artists/Copyright Control (PRS)/Nick Sinna,Various Artists/Nick Sinna
Mehdi Benjelloun & Sonia Ben Ammar,Mehdi Benjelloun/Sonia Ben Ammar
Akshay Roy,Akshay Roy
Aleksandr Alekseevich Osipov,
Sam Geiser,Sam Geiser
"SUBZEROSWIZ,Yeat",SUBZEROSWIZ/Yeat
渡辺徹/森月キャス,
Ray Davies,Ray Davies
Yuvanshankar Raja & Ramajogayya Sastry,Yuvanshankar Raja/Ramajogayya Sastry
Auditory Music,Auditory Music
