Original_Text,Ground_Truth,Baseline_Predicted_Text,Enhanced_Predicted_Text,LLM_Predicted_Text,Voting_Hybrid_Predicted_Text,RefineBoost_Hybrid_Predicted_Text,Conditional_Hybrid_Predicted_Text
TAIHEI,TAIHEI,TAIHEI,TAIHEI,TAIHEI,TAIHEI,TAIHEI,TAIHEI
GlockBoy BoBo,GlockBoy BoBo,GlockBoy BoBo,GlockBoy BoBo,GlockBoy BoBo,GlockBoy BoBo,GlockBoy BoBo,GlockBoy/BoBo
Nguyễn Ngọc Thiện,Nguyễn Ngọc Thiện,Nguyễn Ngọc Thiện,Nguyễn Ngọc Thiện,Nguyễn Ngọc Thiện,Nguyễn Ngọc Thiện,Nguyễn Ngọc Thiện,Nguyễn Ngọc Thiện
Dave Cobb/Tim Hanseroth/Brandi Carlile/Phil Hanseroth/Thomas Benjamin Cooper,Dave Cobb/Tim Hanseroth/Brandi Carlile/Phil Hanseroth/Thomas Benjamin Cooper,Dave Cobb/Tim Hanseroth/Brandi Carlile/Phil Hanseroth/Thomas Benjamin Cooper,Dave Cobb/Tim Hanseroth/Brandi Carlile/Phil Hanseroth/Thomas Benjamin Cooper,Dave Cobb/Tim Hanseroth/Brandi Carlile/Phil Hanseroth/Thomas Benjamin Cooper,Dave Cobb/Tim Hanseroth/Brandi Carlile/Phil Hanseroth/Thomas Benjamin Cooper,Dave Cobb/Tim Hanseroth/Brandi Carlile/Phil Hanseroth/Thomas Benjamin Cooper,Dave Cobb/Tim Hanseroth/Brandi Carlile/Phil Hanseroth/Thomas Benjamin Cooper
BOOK  DAN STEVEN/GOLDSTEIN  ANDREW MAXWELL/OVERSTREET  CHORD,BOOK  DAN STEVEN/GOLDSTEIN  ANDREW MAXWELL/OVERSTREET  CHORD,BOOK  DAN STEVEN/GOLDSTEIN  ANDREW MAXWELL/OVERSTREET  CHORD,BOOK DAN STEVEN/GOLDSTEIN ANDREW MAXWELL/OVERSTREET CHORD,BOOK/DAN STEVEN/GOLDSTEIN/ANDREW MAXWELL/OVERSTREET/CHORD,BOOK  DAN STEVEN/GOLDSTEIN  ANDREW MAXWELL/OVERSTREET  CHORD,BOOK DAN STEVEN/GOLDSTEIN ANDREW MAXWELL/OVERSTREET CHORD,BOOK/DAN STEVEN/GOLDSTEIN/ANDREW MAXWELL/OVERSTREET/CHORD
Ángel Aníbal,Ángel Aníbal,Ángel Aníbal,Ángel Aníbal,Ángel Aníbal,Ángel Aníbal,Ángel Aníbal,Ángel Aníbal
-/Akira The Don,Akira The Don,-/Akira The Don,//Akira The Don,Akira The Don,-/Akira The Don,//Akira The Don,Akira The Don
Boon wdg & marr osama,Boon wdg/marr osama,Boon wdg / marr osama,Boon wdg/marr osama,Boon/wdg/marr/osama,Boon wdg / marr osama,Boon wdg/marr osama,Boon/wdg/marr/osama
Paul Noriega,Paul Noriega,Paul Noriega,Paul Noriega,Paul Noriega,Paul Noriega,Paul Noriega,Paul Noriega
Bob Young/Francis Rossi,Bob Young/Francis Rossi,Bob Young/Francis Rossi,Bob Young/Francis Rossi,Bob Young/Francis Rossi,Bob Young/Francis Rossi,Bob Young/Francis Rossi,Bob Young/Francis Rossi
